UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:25 ?        00:00:01 /sbin/init splash
root           2       0  0 16:25 ?        00:00:00 [kthreadd]
root           3       2  0 16:25 ?        00:00:00 [rcu_gp]
root           4       2  0 16:25 ?        00:00:00 [rcu_par_gp]
root           5       2  0 16:25 ?        00:00:00 [slub_flushwq]
root           6       2  0 16:25 ?        00:00:00 [netns]
root           8       2  0 16:25 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 16:25 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 16:25 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 16:25 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 16:25 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 16:25 ?        00:00:01 [ksoftirqd/0]
root          15       2  0 16:25 ?        00:00:01 [rcu_preempt]
root          16       2  0 16:25 ?        00:00:00 [migration/0]
root          17       2  0 16:25 ?        00:00:00 [idle_inject/0]
root          19       2  0 16:25 ?        00:00:00 [cpuhp/0]
root          20       2  0 16:25 ?        00:00:00 [kdevtmpfs]
root          21       2  0 16:25 ?        00:00:00 [inet_frag_wq]
root          22       2  0 16:25 ?        00:00:00 [kauditd]
root          23       2  0 16:25 ?        00:00:00 [khungtaskd]
root          24       2  0 16:25 ?        00:00:00 [oom_reaper]
root          27       2  0 16:25 ?        00:00:00 [writeback]
root          28       2  0 16:25 ?        00:00:01 [kcompactd0]
root          29       2  0 16:25 ?        00:00:00 [ksmd]
root          30       2  0 16:25 ?        00:00:00 [khugepaged]
root          31       2  0 16:25 ?        00:00:00 [kintegrityd]
root          32       2  0 16:25 ?        00:00:00 [kblockd]
root          33       2  0 16:25 ?        00:00:00 [blkcg_punt_bio]
root          34       2  0 16:25 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 16:25 ?        00:00:00 [ata_sff]
root          36       2  0 16:25 ?        00:00:00 [md]
root          37       2  0 16:25 ?        00:00:00 [edac-poller]
root          38       2  0 16:25 ?        00:00:00 [devfreq_wq]
root          39       2  0 16:25 ?        00:00:00 [watchdogd]
root          40       2  0 16:25 ?        00:00:02 [kworker/0:1H-kblockd]
root          41       2  0 16:25 ?        00:00:00 [kswapd0]
root          42       2  0 16:25 ?        00:00:00 [ecryptfs-kthread]
root          48       2  0 16:25 ?        00:00:00 [kthrotld]
root          52       2  0 16:25 ?        00:00:00 [acpi_thermal_pm]
root          53       2  0 16:25 ?        00:00:00 [xenbus_probe]
root          54       2  0 16:25 ?        00:00:00 [scsi_eh_0]
root          55       2  0 16:25 ?        00:00:00 [scsi_tmf_0]
root          56       2  0 16:25 ?        00:00:00 [scsi_eh_1]
root          57       2  0 16:25 ?        00:00:00 [scsi_tmf_1]
root          58       2  0 16:25 ?        00:00:00 [vfio-irqfd-clea]
root          60       2  0 16:25 ?        00:00:00 [mld]
root          61       2  0 16:25 ?        00:00:00 [ipv6_addrconf]
root          66       2  0 16:25 ?        00:00:00 [kstrp]
root          72       2  0 16:25 ?        00:00:00 [zswap-shrink]
root          73       2  0 16:25 ?        00:00:00 [kworker/u3:0]
root         119       2  0 16:25 ?        00:00:00 [charger_manager]
root         163       2  0 16:25 ?        00:00:00 [scsi_eh_2]
root         165       2  0 16:25 ?        00:00:00 [scsi_tmf_2]
root         187       2  0 16:25 ?        00:00:00 [jbd2/sda3-8]
root         188       2  0 16:25 ?        00:00:00 [ext4-rsv-conver]
root         227       1  0 16:25 ?        00:00:00 /lib/systemd/systemd-journald
root         261       2  0 16:25 ?        00:00:01 [irq/18-vmwgfx]
root         262       2  0 16:25 ?        00:00:00 [card0-crtc0]
root         263       2  0 16:25 ?        00:00:00 [card0-crtc1]
root         264       2  0 16:25 ?        00:00:00 [card0-crtc2]
